sutta,character,id,is_physically_present,mentioned_by_name,has_speaking_role,has_teaching_role,type,aliases
mn67,Mahāmoggallāna,mahāmoggallāna,TRUE,TRUE,TRUE,FALSE,enlightened monk,Moggallāna
mn67,Sahampati,sahampati,TRUE,TRUE,TRUE,FALSE,,
mn67,Sāriputta,sāriputta,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn68,Ānanda,ānanda,TRUE,TRUE,FALSE,FALSE,enlightened monk,
mn68,Anuruddha,anuruddha,TRUE,TRUE,TRUE,FALSE,enlightened monk,
mn68,Bhaddiya,,TRUE,TRUE,FALSE,FALSE,,
mn68,Bhagu,,TRUE,TRUE,FALSE,FALSE,,
mn68,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn68,Kimbila,kimbila,TRUE,TRUE,FALSE,FALSE,,
mn68,Koṇḍañña,kuṇḍadhāna,TRUE,TRUE,FALSE,FALSE,enlightened monk,
mn68,Revata,Revata1,TRUE,TRUE,FALSE,FALSE,,
mn69,Buddha,buddha,FALSE,TRUE,FALSE,FALSE,buddha,
mn69,Gulissāni,gulissāni,FALSE,TRUE,FALSE,FALSE,,
mn69,Mahāmoggallāna,mahāmoggallāna,TRUE,TRUE,TRUE,FALSE,enlightened monk,Moggallāna
mn69,Sāriputta,sāriputta,TRUE,TRUE,TRUE,TRUE,enlightened monk,
mn70,Assaji,Assaji2,FALSE,TRUE,FALSE,FALSE,enlightened monk,
mn70,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn70,Punabbasuka,Punabbasu2,FALSE,TRUE,FALSE,FALSE,,
mn71,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn71,Vacchagotta,vacchagotta,TRUE,TRUE,TRUE,FALSE,,
mn72,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn72,Vacchagotta,vacchagotta,TRUE,TRUE,TRUE,FALSE,,
mn73,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn73,Vacchagotta,vacchagotta,TRUE,TRUE,TRUE,FALSE,,
mn74,Buddha,buddha,TRUE,TRUE,TRUE,TRUE,buddha,
mn74,Dīghanakha,dīghanakha,TRUE,TRUE,TRUE,FALSE,,
mn74,Sāriputta,sāriputta,TRUE,TRUE,TRUE,FALSE,enlightened monk,
